alr	Alanine racemase
nrdG	Ribonucleotide reductase activase, generating glycyl radical; contains iron; binds NrdD tightly
yjgF	Function unknown, UPF0131 family; Salmonella ortholog required for full IlvE activity and for the dependence of the alternative pyrimidine biosynthesis (APB) pathway of thiamine biosynthesis upon the oxidative pentose phosphate pathway; serine sensitivity
mgtA	Magnesium transporter, ATP-dependent; mutant has cobalt resistance; mediates Mg(2+) influx
yjgH	Function unknown, UPF0131 family
yjgI	Predicted oxidoreductase, function unknown
yjgJ	Predicted transcriptional repressor, function unknown
tabA	Reduces fimA expression and influences biofilm formation
yjgL	Function unknown
yjgM	Predicted acetyltransferase
yjgN	Inner membrane protein, DUF898 family, function unknown
lptF	Lipopolysaccharide export ABC permease; LptBFGC export complex
lptG	Lipopolysaccharide export ABC permease; LptBFGC export complex
yjgR	Function unknown, DUF853 family with NTPase fold
idnR	idn operon activator; represses GntR-regulated genes gntKU and gntT
idnT	L-idonate transporter; also transports 5-keto-D-gluconate (Reed, 2006) 
idnO	5-keto-D-gluconate 5-reductase
idnD	L-idonate 5-dehydrogenase
yjhB	Predicted transporter, function unknown; N-acetylneuraminic acid inducible
yjhC	predicted oxidoreductase, function unknown; N-acetylneuraminic acid inducible
yjhF	Predicted GntP family transporter, function unknown
yjhG	Function unknown
yjhH	Function unknown
yjhI	Function unknown
sgcR	Putative sgc cluster transcriptional regulator
sgcE	Predicted pentose-5-phosphate 3-epimerase
sgcA	Predicted phosphotransferase enzyme IIA
sgcQ	Putative gene in sgc gene cluster, function unknown
sgcC	Predicted phosphotransferase enzyme IIC
sgcX	Peptidase homolog, function unknown
yjhP	Putative SAM-dependent methyltransferase, function unknown
yjhQ	Predicted acetyltransferase
nanS	Probable 9-O-acetyl N-acetylneuraminic acid esterase
nanM	N-acetylneuraminic acid mutarotase
gntP	Fructuronate and gluconate transporter
yjiC	Function unknown
iraD	RpoS stabilzer after DNA damage, anti-RssB factor; anti-adapter protein
yjiE	Function unknown
iadA	Isoaspartyl dipeptidase
yjiG	Inner membrane protein, SpmB family , function unknown
yjiH	Predicted inner membrane protein, function unknown
kptA	RNA 2'-phosphotransferase; ligates tRNA substrate in vitro, physiological role and in vivo substrate unknown
yjiJ	Predicted MFS transporter, function unknown
yjiK	Function unknown
yjiL	Function unknown
yjiM	Function unknown
yjiN	Zinc-type alcohol dehydrogenase-like protein, function unknown
mdtM	Multidrug resistance efflux protein; overexpression resistnace to acriflavin, chloramphenicol, TPP, norfloxacin and ethidium
yjiR	Predicted HTH transcriptional regulator with aminotransferase domain, function unknown; MocR family
yjiS	Function unknown
symE	Toxic peptide regulated by antisense sRNA symR, function unknown
yjiX	Function unknown; ybdD paralog; may be involved with oligopeptide uptake
yjiY	Function unknown; cstA paralog
yjjL	L-galactonate transporter; mutants fail to grow on L-galactonate (Reed, 2006); membrane protein
yjjM	Positive transcriptional regulator for yjjM and/or yjjN; mutants fail to grow on L-galactonate (Reed, 2006)
yjjN	L-galactonate oxidoreductase; L-galactonate catabolism
opgB	Phosphoglycerol transferases I and II, OPG biolsynthesis
yjjP	Inner membrane protein, DUF1212 family, function unknown; H-NS-repressed
yjjQ	Predicted transcriptional regulator, H-NS-repressed, function unknown
bglJ	Transcriptional activator for the silent bgl operon; requires the bglJ4 allele to function; LuxR family
fhuF	Siderophore-iron reductase; releases iron from hydroxamate-type siderophores; cytoplasmic
rsmC	16S rRNA m(2)G1207 methyltransferase, SAM-dependent
yjjU	Conserved protein, patatin-like family
yjjV	Predicted DNase, function unknown; tatD paralog but no Tat phenotype
yjjW	Predicted YjjI activase, function unknown
yjjX	Inosine/xanthosine triphosphatase; may be involved in detoxifying ITP and XTP; dimeric;
yjjY	Function unknown
yjgZ	Function unknown
yjhU	Function unknown
yacL	Function unknown
fabF	beta-Ketoacyl-ACP synthase II; KAS II; homodimeric
yfcC	Putative transporter, function unknown
caiE	Stimulates activities of CaiD and CaiB
rluA	Dual specificity tRNA and rRNA pseudouridine synthase; specific to 23S rRNA U746 and tRNAphe U32; non-essential gene
degQ	Periplasmic serine endoprotease; multicopy suppressor of prc and degP
gst	Glutathione S-transferase; hydrogen peroxide resistance
yhcB	Complexed with cytochrome bd oxidase, function unknown
torR	Response regulator for torCAD operon
torT	Periplasmic TMAO binding protein; required for ToSrR response to TMAO
torS	Sensor kinase for torCAD operon
lptA	Periplasmic LPS-binding protein, binds Lipid A domain; LPS transport and assembly
ybdF	Function unknown
ybdG	Predicted mechanosensitive channel protein, function unknown
csgB	Curlin nucleator protein, homology with major curlin, CsgA
adhP	Ethanol-active dehydrogenase/acetaldehyde-active reductase
ybaL	Potassium transporter homolog, function unknown
yiaG	Predicted transcriptional regulator, HTH_CROC1 family, function unknown
dppB	Dipeptide/heme transport, permease; also transports 5-aminolevulinic acid
dppC	Dipeptide/heme transport, permease; also transports 5-aminolevulinic acid
dppD	Dipeptide/heme transport, ATP-binding protein; also transports 5-aminolevulinic acid
dppF	Dipeptide/heme transport, ATP-binding protein; also transports 5-aminolevulinic acid
gntK	Gluconokinase, thermoresistant
gntR	Controls gntKU induction, also edd and eda
gntU	Low-affinity gluconate transport protein, membrane protein
ygcB	Cas3 predicted helicase needed for Cascade anti-viral activity
dsrB	Function unknown, regulated by DsrA, H-NS, and RpoS
rnk	Regulator of nucleoside diphosphate kinase; suppresses Pseudomonas algR2
pdxK	B6-vitamer kinase; pyridoxine (PN)/pyridoxal (PL)/pyridoxamine (PM) kinase
yfeK	Function unknown
wcaM	Colanic acid biosynthesis protein
wcaL	Putative colanic acid biosynthesis glycosyl transferase
ycjD	Function unknown
mdaB	FMN-dependent NADH-quinone reductase; MdaB and YgiN form an enzymatic quinone reduction-oxidation cycle in vitro; possibly mitigates toxicity of quinols and quinones in vivo; dimeric
ygiN	Quinol monooxygenase; MdaB and YgiN form an enzymatic quinone reduction-oxidation cycle in vitro; expressed protein
yceJ	Cytochrome b561 homolog, function unknown
gltJ	Glutamate-aspartate transport system membrane permease protein
gltK	Glutamate-aspartate transport system membrane permease protein
gltL	Glutamate-aspartate transport system ATP-binding protein
flgM	Anti-sigma 28 (FliA) factor; regulator of FlhD
flgN	Initiation of flagellar filament assembly
lpxH	Lipid A synthesis, UDP-2,3-diacylglucosamine pyrophosphatase
uidR	Transcriptional repressor for uidABC(gusABC)
uidC	Enhances UidB-mediated glucuronide transport; putative OM porin
solA	N-methyltryptophan oxidase, FAD-containing; monomeric
dinI	Stabilizes RecA filaments; multicopy suppressor of dinD cold-sensitive filamentous phenotype; possible ssDNA mimic
pmrD	Inactive two-component system connector protein ortholog; active Salmonella PmrD blocks dephosphorylation of PmrA(BasR) by PmrB(BasS)
tpx	Lipid hydroperoxide peroxidase; thiol peroxidase, antioxidant, thioredoxin-dependent; scavengase P20; induced by acid or base
uspF	Stress-induced protein, binds ATP; dimer
ygaU	Function unknown
bamA	Outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCD OM protein complex; has a C-terminal beta-barrel OM protein domain and an N-terminal periplasmic domain
iscS	Cysteine desulfurase, PLP-dependent; used in synthesis of Fe-S clusters and 4-thiouridine; ThiI transpersulfidase; SirA(TusA) transpersulfidase; pyridoxal phosphate cofactor linked to Lys206
znuA	High-affinity ABC transport system for zinc, periplasmic
yeaD	Function unknown, mutarotase homolog, low abundance protein
fliY	Cystine-binding protein, periplasmic; not required for motility; may regulate FliA (sigma 28)
erfK	L,D-transpeptidase linking Lpp to murein, periplasmic
uspG	Stress protein, induced in stationary phase; native GroEL substrate; heat shock; mutant sensitive to CCCP; dimeric
lolA	Periplasmic protein responsible for sorting and transporting lipoproteins to outer membrane
ygfZ	Hda suppressor; also involved in methylthio modification at 2-methylthio-6-iodeadenosine in tRNA; mutants grow slowly, especially at low temperature; slow growth is suppressed by MnmE; binds folate
flu	Antigen 43, phase-variable bipartite outer membrane protein; Ag43; CP4-44 putative defective prophage; affects surface properties, piliation, colonial morphology; unstable gene; alpha and beta subunits formed by cleavage at residue 551
grxB	Glutaredoxin 2; regulated by RpoS and ppGpp
yceK	Novel verified lipoprotein, DUF1375 family, function unknown
rarA	Involved in processing recombnation intermediates at replication forks, affecting dimer formation; grows poorly when combined with xer or dif mutations; homologous to dnaX and ruvB
yciM	TPR-repeats protein, function unknown
ybdH	Required for swarming phenotype, function unknown; alcohol dehydrogenase homolog
nudL	Predicted CoA pyrophosphohydrolase, function unknown
ttdR	Transcriptional activator of ttdABT, tartrate-inducible; required for tartrate utilization 
azoR	NADH-azoreductase, FMN-dependent
fldB	Flavodoxin-2
ygaD	Upstream of recA, may bind to RecA; homologous to colligrin, a Streptococcus protein that localizes RecA to the membrane; expressed protein; ydeJ paralog
mltB	Membrane-bound lytic transglycosylase B, murein hydrolase; periplasmic OM-attached lipoprotein; Slt35, soluble lytic transglycosylase
gltI	Periplasmic glutamate-aspartate binding protein
rihA	Ribonucleoside hydrolase, pyrimidine specific
ycaK	Putative NAD(P)H oxidoreductase, function unknown
yccJ	Function unknown
yggM	Predicted secreted protein, function unknown
yggN	Predicted periplasmic protein, function unknown
ygbE	Inner membrane protein, function unknown
ybcI	Inner membrane protein, DUF457 family, function unknown
yedI	Function unknown; homolog of V. cholerae mutK
yedJ	Predicted hydrolase, HD superfamily, function unknown
luxS	S-ribosylhomocysteine lyase, autoinducer 2 (AI-2) synthesis; functions in quorum sensing; acid-inducible
yddG	Aromatic amino acid exporter
dxr	1-deoxy-D-xylulose 5-phosphate (DXP) reductoisomerase, NAPDH-dependent; also called 2-C-methyl-D-erythritol 4-phosphate (MEP) synthase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; dimeric
mug	Uracil DNA-glycosylase, G:U mismatch-specific, dsDNA-specific; excises uracil from DNA by base flipping mechanism; required for mutation avoidance in stationary phase; up-regulated in stationary phase
patA	Putrescine:2-oxoglutaric acid aminotransferase; putrescine aminotransferase; sigma 54-dependent
ygjH	tRNA binding protein, function unknown
ygjI	Putative transporter, function unknown; localized to inner membrane
ygjJ	Function unknown
ygjK	alpha-Glucosidase activity, role unknown
fadH	2,4-dienoyl CoA reductase, NADPH-dependent
higA	Antitoxin for HigB toxin
higB	mRNA interferase, toxin-antitoxin pair HigBA
rlmG	23S rRNA m(2)G1835 methyltransferase, SAM-dependent
ygjP	Function unknown
ygjQ	conserved protein, SanA family, function unknown
ygjR	Predicted oxidoreductase
alx	Inner membrane protein, function unknown; induced by alkali; putative membrane transport or efflux protein
sstT	Na+/serine (threonine) symporter
ygjV	Inner membrane protein, Imp-YgjV family, function unknown
uxaA	D-Altronate hydrolase (hydratase), Fe(2)-requiring; galacturonate branch of hexuronate pathway
uxaC	Uronate isomerase; galacturonate branch of hexuronate pathway
exuT	Hexuronate permease, for glucuronate and galacturonate
exuR	Repressor for the exuR regulon; induced by D-hexuronates
yqjA	Required, with yghB, for membrane integrity; inner membrane protein, function unknown
mzrA	Modulator of EnvZ/OmpR regulon; links EnvZ/OmpR to the CpxAR two-component system regulon; inner membrane protein; binds EnvZ
yqjC	Function unknown, expressed protein
yqjD	Function unknown, paralogous to elaB and ygaM
yqjE	Inner membrane protein, DUF1469 family, function unknown
yqjF	Predicted membrane protein, function unknown; homologous to membrane oxidoreductase subunits
yqjG	Function unknown
yhaH	Inner membrane protein, DUF805 family, function unknown
yhaI	Inner membrane protein, DUF805 family, function unknown
yhaJ	Function unknown
yhaK	Redox-sensitive bicupin, function unknown; may be an in vivo sensor of oxidative stress
yhaL	Function unknown
yhaM	Function unknown
yhaO	Putative amino acid:H+ symport permease, function unknown
tdcG	Anaerobic pathway, L-serine deaminase, L-serine dehydratase
tdcF	Binds 2-ketoglutarate, function unknown
tdcE	Pyruvate formate-lyase/ketobutyrate formate-lyase
garP	Probable D-galactarate transporter, membrane protein
yhaV	Toxin of the SohB(PrlF)-YhaV toxin-antitoxin pair; non-specific ribonuclease; autoregulator
agaR	aga regulon transcriptional repressor
kbaZ	Ketose bisphosphate aldolase KbaYZ subunit; required for full activity and stabilty of KbaY
agaV	Enzyme IIB Nag, PTS system; N-acetylgalactosamine-specific enzyme IIB; EIIB-Nag
agaS	Tagatose-6-phosphate ketose/aldose isomerase
kbaY	Ketose 1,6-bisphosphate aldolase, class II; D-tagatose 1,6-bisphosphate aldolase; requires KbaZ subunit for full activity and stability
agaB	Putative PTS system N-acetylgalactosamine-specific enzyme IIB component 
agaC	Enzyme IIC Nag, PTS system; N-acetylgalactosamine-specific enzyme IIC; EIIC-Nag
agaD	Enzyme IID Nag, PTS system; N-acetylgalactosamine-specific enzyme IID; EIID-Nag; remnant of aga operon
agaI	Galactosamine-6-phosphate isomerase
yraH	Function unknown, FimA homolog
yraI	Predicted periplasmic pilus chaperone, function unknown
yraJ	Putative outer membrane fimbrial subunit export usher protein; function unknown
yraK	Function unknown, FimA homolog
rsmI	16S rRNA C1402 ribose 2'-O-methyltransferase, SAM-dependent
yraM	Probable lipoprotein, function unknown; Cys conserved
